;Tweet;Sentimen;ProcessedText;step01;tokens;tokens_perbaikan;Stop_removal;step02;step03_stemmed
150;PKP. Semua orang tak nak rugi. Semua nya nak bekerja untuk dapatkan duit. Tapi kena la ingat. Selagi tak selesai kes covid-19, belum tentu kita semua selamat walaupun kita pergi & balik kerja. Lebih baik rugi sementara daripada menyesal selamanya.;1.0;pkp orang nak rugi nya nak dapat duit kena la selagi selesai kes covid selamat pergi kerja rugi sesal;pkp semua orang tak nak rugi semua nya nak bekerja untuk dapatkan duit tapi kena la ingat selagi tak selesai kes covid belum tentu kita semua selamat walaupun kita pergi balik kerja lebih baik rugi sementara daripada menyesal selamanya;['pkp', 'semua', 'orang', 'tak', 'nak', 'rugi', 'semua', 'nya', 'nak', 'bekerja', 'untuk', 'dapatkan', 'duit', 'tapi', 'kena', 'la', 'ingat', 'selagi', 'tak', 'selesai', 'kes', 'covid', 'belum', 'tentu', 'kita', 'semua', 'selamat', 'walaupun', 'kita', 'pergi', 'balik', 'kerja', 'lebih', 'baik', 'rugi', 'sementara', 'daripada', 'menyesal', 'selamanya'];['pkp', 'semua', 'orang', 'tak', 'nak', 'rugi', 'semua', 'nya', 'nak', 'bekerja', 'untuk', 'dapatkan', 'duit', 'tapi', 'kena', 'la', 'ingat', 'selagi', 'tak', 'selesai', 'kes', 'covid', 'belum', 'tentu', 'kita', 'semua', 'selamat', 'walaupun', 'kita', 'pergi', 'balik', 'kerja', 'lebih', 'baik', 'rugi', 'sementara', 'daripada', 'menyesal', 'selamanya'];['pkp', 'orang', 'nak', 'rugi', 'nya', 'nak', 'dapatkan', 'duit', 'kena', 'la', 'selagi', 'selesai', 'kes', 'covid', 'selamat', 'pergi', 'kerja', 'rugi', 'menyesal'];pkp orang nak rugi nya nak dapatkan duit kena la selagi selesai kes covid selamat pergi kerja rugi menyesal;pkp orang nak rugi nya nak dapat duit kena la selagi selesai kes covid selamat pergi kerja rugi sesal
151;Allhumma inn dzu bika minal barashi, wal jun bni, wal judzmi, wa sayy Bismillahirrahmanirrahim semoga Wabah covid-19 segera berakhir, semoga selalu diberikan kesehatan, keselamatan serta kebahagiaan di dunia akhirat .. Aamiin ;1.0;allhumma inn dzu bika mal barashi wal jun bni wal judzmi wa sayy bismillahirrahmanirrahim moga wabah covid moga sehat selamat bahagia dunia akhirat moga;allhumma inn dzu bika minal barashi wal jun bni wal judzmi wa sayy bismillahirrahmanirrahim semoga wabah covid segera berakhir semoga selalu diberikan kesehatan keselamatan serta kebahagiaan di dunia akhirat aamiin;['allhumma', 'inn', 'dzu', 'bika', 'minal', 'barashi', 'wal', 'jun', 'bni', 'wal', 'judzmi', 'wa', 'sayy', 'bismillahirrahmanirrahim', 'semoga', 'wabah', 'covid', 'segera', 'berakhir', 'semoga', 'selalu', 'diberikan', 'kesehatan', 'keselamatan', 'serta', 'kebahagiaan', 'di', 'dunia', 'akhirat', 'aamiin'];['allhumma', 'inn', 'dzu', 'bika', 'minal', 'barashi', 'wal', 'jun', 'bni', 'wal', 'judzmi', 'wa', 'sayy', 'bismillahirrahmanirrahim', 'semoga', 'wabah', 'covid', 'segera', 'berakhir', 'semoga', 'selalu', 'diberikan', 'kesehatan', 'keselamatan', 'serta', 'kebahagiaan', 'di', 'dunia', 'akhirat', 'semoga'];['allhumma', 'inn', 'dzu', 'bika', 'minal', 'barashi', 'wal', 'jun', 'bni', 'wal', 'judzmi', 'wa', 'sayy', 'bismillahirrahmanirrahim', 'semoga', 'wabah', 'covid', 'semoga', 'kesehatan', 'keselamatan', 'kebahagiaan', 'dunia', 'akhirat', 'semoga'];allhumma inn dzu bika minal barashi wal jun bni wal judzmi wa sayy bismillahirrahmanirrahim semoga wabah covid semoga kesehatan keselamatan kebahagiaan dunia akhirat semoga;allhumma inn dzu bika mal barashi wal jun bni wal judzmi wa sayy bismillahirrahmanirrahim moga wabah covid moga sehat selamat bahagia dunia akhirat moga
152;Ketua Wantim MUI Tolak Pengalihan Dana Haji untuk Penanganan Covid-19;1.0;ketua wantim mui tolak alih dana haji tangan covid;ketua wantim mui tolak pengalihan dana haji untuk penanganan covid;['ketua', 'wantim', 'mui', 'tolak', 'pengalihan', 'dana', 'haji', 'untuk', 'penanganan', 'covid'];['ketua', 'wantim', 'mui', 'tolak', 'pengalihan', 'dana', 'haji', 'untuk', 'penanganan', 'covid'];['ketua', 'wantim', 'mui', 'tolak', 'pengalihan', 'dana', 'haji', 'penanganan', 'covid'];ketua wantim mui tolak pengalihan dana haji penanganan covid;ketua wantim mui tolak alih dana haji tangan covid
153;Ada 15 cara menyuruh Covid-19 segera pergi:6. Jangan lagi pernah abaikan rumah, keluarga dengan terlalu sibuk di luar rumah. Bukankan Covid-19 telah mendidik kita untuk banyak tinggal di dalam rumah bersama keluarga ?;1.0;suruh covid pergi abai rumah keluarga sibuk rumah bukan covid didik tinggal rumah keluarga;ada cara menyuruh covid segera pergi jangan lagi pernah abaikan rumah keluarga dengan terlalu sibuk di luar rumah bukankan covid telah mendidik kita untuk banyak tinggal di dalam rumah bersama keluarga;['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jangan', 'lagi', 'pernah', 'abaikan', 'rumah', 'keluarga', 'dengan', 'terlalu', 'sibuk', 'di', 'luar', 'rumah', 'bukankan', 'covid', 'telah', 'mendidik', 'kita', 'untuk', 'banyak', 'tinggal', 'di', 'dalam', 'rumah', 'bersama', 'keluarga'];['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jangan', 'lagi', 'pernah', 'abaikan', 'rumah', 'keluarga', 'dengan', 'terlalu', 'sibuk', 'di', 'luar', 'rumah', 'bukankan', 'covid', 'telah', 'mendidik', 'kita', 'untuk', 'banyak', 'tinggal', 'di', 'dalam', 'rumah', 'bersama', 'keluarga'];['menyuruh', 'covid', 'pergi', 'abaikan', 'rumah', 'keluarga', 'sibuk', 'rumah', 'bukankan', 'covid', 'mendidik', 'tinggal', 'rumah', 'keluarga'];menyuruh covid pergi abaikan rumah keluarga sibuk rumah bukankan covid mendidik tinggal rumah keluarga;suruh covid pergi abai rumah keluarga sibuk rumah bukan covid didik tinggal rumah keluarga
154;Kasihan ibu korban covid 19. Yg memohon kepada warga Video : 2;0.0;kasihan korban covid mohon warga video;kasihan ibu korban covid yg memohon kepada warga video;['kasihan', 'ibu', 'korban', 'covid', 'yg', 'memohon', 'kepada', 'warga', 'video'];['kasihan', 'ibu', 'korban', 'covid', 'yang', 'memohon', 'kepada', 'warga', 'video'];['kasihan', 'korban', 'covid', 'memohon', 'warga', 'video'];kasihan korban covid memohon warga video;kasihan korban covid mohon warga video
155;Bukan karena covid, dia HIV;-1.0;covid hiv;bukan karena covid dia hiv;['bukan', 'karena', 'covid', 'dia', 'hiv'];['bukan', 'karena', 'covid', 'dia', 'hiv'];['covid', 'hiv'];covid hiv;covid hiv
156;Pandemi COVID-19 ketua Komisi Fatwa MUI banten himbau masyarakat tidak ke luar daerah;1.0;pandemi covid ketua komisi fatwa mui banten himbau masyarakat daerah;pandemi covid ketua komisi fatwa mui banten himbau masyarakat tidak ke luar daerah;['pandemi', 'covid', 'ketua', 'komisi', 'fatwa', 'mui', 'banten', 'himbau', 'masyarakat', 'tidak', 'ke', 'luar', 'daerah'];['pandemi', 'covid', 'ketua', 'komisi', 'fatwa', 'mui', 'banten', 'himbau', 'masyarakat', 'tidak', 'ke', 'luar', 'daerah'];['pandemi', 'covid', 'ketua', 'komisi', 'fatwa', 'mui', 'banten', 'himbau', 'masyarakat', 'daerah'];pandemi covid ketua komisi fatwa mui banten himbau masyarakat daerah;pandemi covid ketua komisi fatwa mui banten himbau masyarakat daerah
157;Update 9 April 2020 Infografis Covid-19: 3293 Positif, 252 Sembuh, 280 Meninggal -;0.0;update april infografis covid positif sembuh tinggal;update april infografis covid positif sembuh meninggal;['update', 'april', 'infografis', 'covid', 'positif', 'sembuh', 'meninggal'];['update', 'april', 'infografis', 'covid', 'positif', 'sembuh', 'meninggal'];['update', 'april', 'infografis', 'covid', 'positif', 'sembuh', 'meninggal'];update april infografis covid positif sembuh meninggal;update april infografis covid positif sembuh tinggal
158;Pasien Pertama Covid 19 di Kabupaten Serang Terdeteksi Pulang dari Jakarta;0.0;pasien covid kabupaten serang deteksi pulang jakarta;pasien pertama covid di kabupaten serang terdeteksi pulang dari jakarta;['pasien', 'pertama', 'covid', 'di', 'kabupaten', 'serang', 'terdeteksi', 'pulang', 'dari', 'jakarta'];['pasien', 'pertama', 'covid', 'di', 'kabupaten', 'serang', 'terdeteksi', 'pulang', 'dari', 'jakarta'];['pasien', 'covid', 'kabupaten', 'serang', 'terdeteksi', 'pulang', 'jakarta'];pasien covid kabupaten serang terdeteksi pulang jakarta;pasien covid kabupaten serang deteksi pulang jakarta
159;Time musim PKP ni pun runner boleh jual dadah ek? Yg beli dadah pun jenis otak kat mana tah. Time PKP ni kita nak doa supaya covid-19 ni pulih cepat, orang hisap dadah minta mati cepat. Eh marah plak rasa;0.0;time musim pkp runner jual dadah ek beli dadah jenis otak kat tah time pkp nak doa covid pulih cepat orang hisap dadah mati cepat eh marah plak;time musim pkp ni pun runner boleh jual dadah ek yg beli dadah pun jenis otak kat mana tah time pkp ni kita nak doa supaya covid ni pulih cepat orang hisap dadah minta mati cepat eh marah plak rasa;['time', 'musim', 'pkp', 'ni', 'pun', 'runner', 'boleh', 'jual', 'dadah', 'ek', 'yg', 'beli', 'dadah', 'pun', 'jenis', 'otak', 'kat', 'mana', 'tah', 'time', 'pkp', 'ni', 'kita', 'nak', 'doa', 'supaya', 'covid', 'ni', 'pulih', 'cepat', 'orang', 'hisap', 'dadah', 'minta', 'mati', 'cepat', 'eh', 'marah', 'plak', 'rasa'];['time', 'musim', 'pkp', 'ini', 'pun', 'runner', 'boleh', 'jual', 'dadah', 'ek', 'yang', 'beli', 'dadah', 'pun', 'jenis', 'otak', 'kat', 'mana', 'tah', 'time', 'pkp', 'ini', 'kita', 'nak', 'doa', 'supaya', 'covid', 'ini', 'pulih', 'cepat', 'orang', 'hisap', 'dadah', 'minta', 'mati', 'cepat', 'eh', 'marah', 'plak', 'rasa'];['time', 'musim', 'pkp', 'runner', 'jual', 'dadah', 'ek', 'beli', 'dadah', 'jenis', 'otak', 'kat', 'tah', 'time', 'pkp', 'nak', 'doa', 'covid', 'pulih', 'cepat', 'orang', 'hisap', 'dadah', 'mati', 'cepat', 'eh', 'marah', 'plak'];time musim pkp runner jual dadah ek beli dadah jenis otak kat tah time pkp nak doa covid pulih cepat orang hisap dadah mati cepat eh marah plak;time musim pkp runner jual dadah ek beli dadah jenis otak kat tah time pkp nak doa covid pulih cepat orang hisap dadah mati cepat eh marah plak
160;Cara allah membersihkan bumi ini dari polusi kendaraan ya adanya covid-19 ini;0.0;allah bersih bumi polusi kendara iya covid;cara allah membersihkan bumi ini dari polusi kendaraan ya adanya covid ini;['cara', 'allah', 'membersihkan', 'bumi', 'ini', 'dari', 'polusi', 'kendaraan', 'ya', 'adanya', 'covid', 'ini'];['cara', 'allah', 'membersihkan', 'bumi', 'ini', 'dari', 'polusi', 'kendaraan', 'iya', 'adanya', 'covid', 'ini'];['allah', 'membersihkan', 'bumi', 'polusi', 'kendaraan', 'iya', 'covid'];allah membersihkan bumi polusi kendaraan iya covid;allah bersih bumi polusi kendara iya covid
161;Teknis RS Klaim Biaya Perawatan Pasien Covid-19;0.0;teknis rs klaim biaya awat pasien covid;teknis rs klaim biaya perawatan pasien covid;['teknis', 'rs', 'klaim', 'biaya', 'perawatan', 'pasien', 'covid'];['teknis', 'rs', 'klaim', 'biaya', 'perawatan', 'pasien', 'covid'];['teknis', 'rs', 'klaim', 'biaya', 'perawatan', 'pasien', 'covid'];teknis rs klaim biaya perawatan pasien covid;teknis rs klaim biaya awat pasien covid
162;Dan terjadi lagi, penolakan warga terhadap jenazah perawat yang menangani COVID-19 di RSUP Kariadi, Semarang! Lokasi: Suwakul, Ungaran.Video : 1;-1.0;tolak warga jenazah awat tangan covid rsup kariadi semarang lokasi suwakul ungaranvideo;dan terjadi lagi penolakan warga terhadap jenazah perawat yang menangani covid di rsup kariadi semarang lokasi suwakul ungaranvideo;['dan', 'terjadi', 'lagi', 'penolakan', 'warga', 'terhadap', 'jenazah', 'perawat', 'yang', 'menangani', 'covid', 'di', 'rsup', 'kariadi', 'semarang', 'lokasi', 'suwakul', 'ungaranvideo'];['dan', 'terjadi', 'lagi', 'penolakan', 'warga', 'terhadap', 'jenazah', 'perawat', 'yang', 'menangani', 'covid', 'di', 'rsup', 'kariadi', 'semarang', 'lokasi', 'suwakul', 'ungaranvideo'];['penolakan', 'warga', 'jenazah', 'perawat', 'menangani', 'covid', 'rsup', 'kariadi', 'semarang', 'lokasi', 'suwakul', 'ungaranvideo'];penolakan warga jenazah perawat menangani covid rsup kariadi semarang lokasi suwakul ungaranvideo;tolak warga jenazah awat tangan covid rsup kariadi semarang lokasi suwakul ungaranvideo
163;Wagub Sumbar Minta Data Penerima Bantuan Korban Covid -19 Tidak Duplikasi dan Harus Detail;1.0;wagub sumbar data terima bantu korban covid duplikasi detail;wagub sumbar minta data penerima bantuan korban covid tidak duplikasi dan harus detail;['wagub', 'sumbar', 'minta', 'data', 'penerima', 'bantuan', 'korban', 'covid', 'tidak', 'duplikasi', 'dan', 'harus', 'detail'];['wagub', 'sumbar', 'minta', 'data', 'penerima', 'bantuan', 'korban', 'covid', 'tidak', 'duplikasi', 'dan', 'harus', 'detail'];['wagub', 'sumbar', 'data', 'penerima', 'bantuan', 'korban', 'covid', 'duplikasi', 'detail'];wagub sumbar data penerima bantuan korban covid duplikasi detail;wagub sumbar data terima bantu korban covid duplikasi detail
164;Selamat pagi Kak Siti, Mina informasikan Plasa Telkom Depok yakni Di Jl. Arif Rahman Hakim No.100 Depok saat ini tutup sementara hingga batas waktu yang belum ditentukan mengikuti anjuran dari pemerintah terkait waspada Covid-19, dapat diinformasikan keperluannya apa Kak?-;0.0;selamat pagi kak siti mina informasi plasa telkom depok jl arif rahman hakim no depok tutup batas tentu ikut anjur perintah kait waspada covid informasi perlu kak;selamat pagi kak siti mina informasikan plasa telkom depok yakni di jl arif rahman hakim no depok saat ini tutup sementara hingga batas waktu yang belum ditentukan mengikuti anjuran dari pemerintah terkait waspada covid dapat diinformasikan keperluannya apa kak;['selamat', 'pagi', 'kak', 'siti', 'mina', 'informasikan', 'plasa', 'telkom', 'depok', 'yakni', 'di', 'jl', 'arif', 'rahman', 'hakim', 'no', 'depok', 'saat', 'ini', 'tutup', 'sementara', 'hingga', 'batas', 'waktu', 'yang', 'belum', 'ditentukan', 'mengikuti', 'anjuran', 'dari', 'pemerintah', 'terkait', 'waspada', 'covid', 'dapat', 'diinformasikan', 'keperluannya', 'apa', 'kak'];['selamat', 'pagi', 'kak', 'siti', 'mina', 'informasikan', 'plasa', 'telkom', 'depok', 'yakni', 'di', 'jl', 'arif', 'rahman', 'hakim', 'no', 'depok', 'saat', 'ini', 'tutup', 'sementara', 'hingga', 'batas', 'waktu', 'yang', 'belum', 'ditentukan', 'mengikuti', 'anjuran', 'dari', 'pemerintah', 'terkait', 'waspada', 'covid', 'dapat', 'diinformasikan', 'keperluannya', 'apa', 'kak'];['selamat', 'pagi', 'kak', 'siti', 'mina', 'informasikan', 'plasa', 'telkom', 'depok', 'jl', 'arif', 'rahman', 'hakim', 'no', 'depok', 'tutup', 'batas', 'ditentukan', 'mengikuti', 'anjuran', 'pemerintah', 'terkait', 'waspada', 'covid', 'diinformasikan', 'keperluannya', 'kak'];selamat pagi kak siti mina informasikan plasa telkom depok jl arif rahman hakim no depok tutup batas ditentukan mengikuti anjuran pemerintah terkait waspada covid diinformasikan keperluannya kak;selamat pagi kak siti mina informasi plasa telkom depok jl arif rahman hakim no depok tutup batas tentu ikut anjur perintah kait waspada covid informasi perlu kak
165;Doa Para Kiai Bawa Spirit di Tengah Pandemi Covid-19 via;1.0;doa kiai bawa spirit pandemi covid via;doa para kiai bawa spirit di tengah pandemi covid via;['doa', 'para', 'kiai', 'bawa', 'spirit', 'di', 'tengah', 'pandemi', 'covid', 'via'];['doa', 'para', 'kiai', 'bawa', 'spirit', 'di', 'tengah', 'pandemi', 'covid', 'via'];['doa', 'kiai', 'bawa', 'spirit', 'pandemi', 'covid', 'via'];doa kiai bawa spirit pandemi covid via;doa kiai bawa spirit pandemi covid via
166;Pandemi Covid-19: 1.599.423 Kasus dan 95.523 Kematian -;0.0;pandemi covid mati;pandemi covid kasus dan kematian;['pandemi', 'covid', 'kasus', 'dan', 'kematian'];['pandemi', 'covid', 'kasus', 'dan', 'kematian'];['pandemi', 'covid', 'kematian'];pandemi covid kematian;pandemi covid mati
167;Pusing julz, d rumah lagi rame covid, d sini rame fwb ga ngotak;-1.0;pusing julz d rumah ramai covid d ramai fwb ngotak;pusing julz d rumah lagi rame covid d sini rame fwb ga ngotak;['pusing', 'julz', 'd', 'rumah', 'lagi', 'rame', 'covid', 'd', 'sini', 'rame', 'fwb', 'ga', 'ngotak'];['pusing', 'julz', 'd', 'rumah', 'lagi', 'ramai', 'covid', 'd', 'sini', 'ramai', 'fwb', 'tidak', 'ngotak'];['pusing', 'julz', 'd', 'rumah', 'ramai', 'covid', 'd', 'ramai', 'fwb', 'ngotak'];pusing julz d rumah ramai covid d ramai fwb ngotak;pusing julz d rumah ramai covid d ramai fwb ngotak
168;semoga wabah covid-19 segera berlalu dan indonesia kembali baik baik saja, amin paling serius;1.0;moga wabah covid indonesia moga serius;semoga wabah covid segera berlalu dan indonesia kembali baik baik saja amin paling serius;['semoga', 'wabah', 'covid', 'segera', 'berlalu', 'dan', 'indonesia', 'kembali', 'baik', 'baik', 'saja', 'amin', 'paling', 'serius'];['semoga', 'wabah', 'covid', 'segera', 'berlalu', 'dan', 'indonesia', 'kembali', 'baik', 'baik', 'saja', 'semoga', 'paling', 'serius'];['semoga', 'wabah', 'covid', 'indonesia', 'semoga', 'serius'];semoga wabah covid indonesia semoga serius;moga wabah covid indonesia moga serius
169;Ada juga lu sbg ketua mutusin utk potong gaji seluruh anggota dpr selama beberapa bulan kedepan utk biaya penanggulangan wabah covid-19..bukannya galang satgas covid-19 utk nyari dana.!!! Mati kekayaan lo gak lo bawa ke liang lahat!!;-1.0;ketua mutusin potong gaji anggota dpr depan biaya tanggulang wabah covidbukannya galang satgas covid cari dana mati kaya lo lo bawa liang lahat;ada juga lu sbg ketua mutusin utk potong gaji seluruh anggota dpr selama beberapa bulan kedepan utk biaya penanggulangan wabah covidbukannya galang satgas covid utk nyari dana mati kekayaan lo gak lo bawa ke liang lahat;['ada', 'juga', 'lu', 'sbg', 'ketua', 'mutusin', 'utk', 'potong', 'gaji', 'seluruh', 'anggota', 'dpr', 'selama', 'beberapa', 'bulan', 'kedepan', 'utk', 'biaya', 'penanggulangan', 'wabah', 'covidbukannya', 'galang', 'satgas', 'covid', 'utk', 'nyari', 'dana', 'mati', 'kekayaan', 'lo', 'gak', 'lo', 'bawa', 'ke', 'liang', 'lahat'];['ada', 'juga', 'kamu', 'sebagai', 'ketua', 'mutusin', 'untuk', 'potong', 'gaji', 'seluruh', 'anggota', 'dpr', 'selama', 'beberapa', 'bulan', 'kedepan', 'untuk', 'biaya', 'penanggulangan', 'wabah', 'covidbukannya', 'galang', 'satgas', 'covid', 'untuk', 'mencari', 'dana', 'mati', 'kekayaan', 'lo', 'tidak', 'lo', 'bawa', 'ke', 'liang', 'lahat'];['ketua', 'mutusin', 'potong', 'gaji', 'anggota', 'dpr', 'kedepan', 'biaya', 'penanggulangan', 'wabah', 'covidbukannya', 'galang', 'satgas', 'covid', 'mencari', 'dana', 'mati', 'kekayaan', 'lo', 'lo', 'bawa', 'liang', 'lahat'];ketua mutusin potong gaji anggota dpr kedepan biaya penanggulangan wabah covidbukannya galang satgas covid mencari dana mati kekayaan lo lo bawa liang lahat;ketua mutusin potong gaji anggota dpr depan biaya tanggulang wabah covidbukannya galang satgas covid cari dana mati kaya lo lo bawa liang lahat
170;Presiden RI sangat cekatan dalam menghadapi Pandemi Covid-19 A. Sangat Benar SekaliB. Benar SekaliC. BenarD. Benar Semuah;1.0;presiden cekat hadap pandemi covid a sekalib sekalic benard semuah;presiden ri sangat cekatan dalam menghadapi pandemi covid a sangat benar sekalib benar sekalic benard benar semuah;['presiden', 'ri', 'sangat', 'cekatan', 'dalam', 'menghadapi', 'pandemi', 'covid', 'a', 'sangat', 'benar', 'sekalib', 'benar', 'sekalic', 'benard', 'benar', 'semuah'];['presiden', 'di', 'sangat', 'cekatan', 'dalam', 'menghadapi', 'pandemi', 'covid', 'a', 'sangat', 'benar', 'sekalib', 'benar', 'sekalic', 'benard', 'benar', 'semuah'];['presiden', 'cekatan', 'menghadapi', 'pandemi', 'covid', 'a', 'sekalib', 'sekalic', 'benard', 'semuah'];presiden cekatan menghadapi pandemi covid a sekalib sekalic benard semuah;presiden cekat hadap pandemi covid a sekalib sekalic benard semuah
171;biar hukum yg brjalan. yuk fokus lawan covid 19;1.0;biar hukum brjalan ayo fokus lawan covid;biar hukum yg brjalan yuk fokus lawan covid;['biar', 'hukum', 'yg', 'brjalan', 'yuk', 'fokus', 'lawan', 'covid'];['biar', 'hukum', 'yang', 'brjalan', 'ayo', 'fokus', 'lawan', 'covid'];['biar', 'hukum', 'brjalan', 'ayo', 'fokus', 'lawan', 'covid'];biar hukum brjalan ayo fokus lawan covid;biar hukum brjalan ayo fokus lawan covid
172;Pasca pandemi covid 19 ada orang gila nambah nggak ???;-1.0;pasca pandemi covid orang gila nambah nggak;pasca pandemi covid ada orang gila nambah nggak;['pasca', 'pandemi', 'covid', 'ada', 'orang', 'gila', 'nambah', 'nggak'];['pasca', 'pandemi', 'covid', 'ada', 'orang', 'gila', 'nambah', 'nggak'];['pasca', 'pandemi', 'covid', 'orang', 'gila', 'nambah', 'nggak'];pasca pandemi covid orang gila nambah nggak;pasca pandemi covid orang gila nambah nggak
173;Sbenarnya ada baiknya covid ni berlaku.. Banyak;-1.0;sbenarnya baik covid laku;sbenarnya ada baiknya covid ni berlaku banyak;['sbenarnya', 'ada', 'baiknya', 'covid', 'ni', 'berlaku', 'banyak'];['sbenarnya', 'ada', 'baiknya', 'covid', 'ini', 'berlaku', 'banyak'];['sbenarnya', 'baiknya', 'covid', 'berlaku'];sbenarnya baiknya covid berlaku;sbenarnya baik covid laku
174;Meninggal nya relawan covid kalah tenar dengan glen;-1.0;tinggal nya rawan covid kalah tenar glen;meninggal nya relawan covid kalah tenar dengan glen;['meninggal', 'nya', 'relawan', 'covid', 'kalah', 'tenar', 'dengan', 'glen'];['meninggal', 'nya', 'relawan', 'covid', 'kalah', 'tenar', 'dengan', 'glen'];['meninggal', 'nya', 'relawan', 'covid', 'kalah', 'tenar', 'glen'];meninggal nya relawan covid kalah tenar glen;tinggal nya rawan covid kalah tenar glen
175;Legislatif sosialisasikan bahaya corona hingga ke sawah: Wakil rakyat di DPRD Kabupaten Kotabaru, Kalimantan Selatan gencar melakukan sosialisasi kepada masyarakat dalam mengantisipasi bahaya penyebaran virus COVID-19, yang dimulai dari wilayah perkotaan;1.0;legislatif sosialisasi bahaya corona sawah wakil rakyat dprd kabupaten kotabaru kalimantan selatan gencar sosialisasi masyarakat antisipasi bahaya sebar virus covid wilayah kota;legislatif sosialisasikan bahaya corona hingga ke sawah wakil rakyat di dprd kabupaten kotabaru kalimantan selatan gencar melakukan sosialisasi kepada masyarakat dalam mengantisipasi bahaya penyebaran virus covid yang dimulai dari wilayah perkotaan;['legislatif', 'sosialisasikan', 'bahaya', 'corona', 'hingga', 'ke', 'sawah', 'wakil', 'rakyat', 'di', 'dprd', 'kabupaten', 'kotabaru', 'kalimantan', 'selatan', 'gencar', 'melakukan', 'sosialisasi', 'kepada', 'masyarakat', 'dalam', 'mengantisipasi', 'bahaya', 'penyebaran', 'virus', 'covid', 'yang', 'dimulai', 'dari', 'wilayah', 'perkotaan'];['legislatif', 'sosialisasikan', 'bahaya', 'corona', 'hingga', 'ke', 'sawah', 'wakil', 'rakyat', 'di', 'dprd', 'kabupaten', 'kotabaru', 'kalimantan', 'selatan', 'gencar', 'melakukan', 'sosialisasi', 'kepada', 'masyarakat', 'dalam', 'mengantisipasi', 'bahaya', 'penyebaran', 'virus', 'covid', 'yang', 'dimulai', 'dari', 'wilayah', 'perkotaan'];['legislatif', 'sosialisasikan', 'bahaya', 'corona', 'sawah', 'wakil', 'rakyat', 'dprd', 'kabupaten', 'kotabaru', 'kalimantan', 'selatan', 'gencar', 'sosialisasi', 'masyarakat', 'mengantisipasi', 'bahaya', 'penyebaran', 'virus', 'covid', 'wilayah', 'perkotaan'];legislatif sosialisasikan bahaya corona sawah wakil rakyat dprd kabupaten kotabaru kalimantan selatan gencar sosialisasi masyarakat mengantisipasi bahaya penyebaran virus covid wilayah perkotaan;legislatif sosialisasi bahaya corona sawah wakil rakyat dprd kabupaten kotabaru kalimantan selatan gencar sosialisasi masyarakat antisipasi bahaya sebar virus covid wilayah kota
176;RS darurat Wisma Atlet Kemayoran rawat 522 pasien: Rumah Sakit Darurat COVID-19 Wisma Atlet di Kemayoran, Jakarta, hingga Kamis, 9 Maret 2020 merawat 522 pasien rawat inap yang terdiri atas 334 pria dan 188 perempuan.Kasdam Jaya Brigjen TNI M Saleh;0.0;rs darurat wisma atlet mayor rawat pasien rumah sakit darurat covid wisma atlet mayor jakarta kamis maret rawat pasien rawat inap pria perempuankasdam jaya brigjen tni m saleh;rs darurat wisma atlet kemayoran rawat pasien rumah sakit darurat covid wisma atlet di kemayoran jakarta hingga kamis maret merawat pasien rawat inap yang terdiri atas pria dan perempuankasdam jaya brigjen tni m saleh;['rs', 'darurat', 'wisma', 'atlet', 'kemayoran', 'rawat', 'pasien', 'rumah', 'sakit', 'darurat', 'covid', 'wisma', 'atlet', 'di', 'kemayoran', 'jakarta', 'hingga', 'kamis', 'maret', 'merawat', 'pasien', 'rawat', 'inap', 'yang', 'terdiri', 'atas', 'pria', 'dan', 'perempuankasdam', 'jaya', 'brigjen', 'tni', 'm', 'saleh'];['rs', 'darurat', 'wisma', 'atlet', 'kemayoran', 'rawat', 'pasien', 'rumah', 'sakit', 'darurat', 'covid', 'wisma', 'atlet', 'di', 'kemayoran', 'jakarta', 'hingga', 'kamis', 'maret', 'merawat', 'pasien', 'rawat', 'inap', 'yang', 'terdiri', 'atas', 'pria', 'dan', 'perempuankasdam', 'jaya', 'brigjen', 'tni', 'm', 'saleh'];['rs', 'darurat', 'wisma', 'atlet', 'kemayoran', 'rawat', 'pasien', 'rumah', 'sakit', 'darurat', 'covid', 'wisma', 'atlet', 'kemayoran', 'jakarta', 'kamis', 'maret', 'merawat', 'pasien', 'rawat', 'inap', 'pria', 'perempuankasdam', 'jaya', 'brigjen', 'tni', 'm', 'saleh'];rs darurat wisma atlet kemayoran rawat pasien rumah sakit darurat covid wisma atlet kemayoran jakarta kamis maret merawat pasien rawat inap pria perempuankasdam jaya brigjen tni m saleh;rs darurat wisma atlet mayor rawat pasien rumah sakit darurat covid wisma atlet mayor jakarta kamis maret rawat pasien rawat inap pria perempuankasdam jaya brigjen tni m saleh
177;Wabah Covid-19 Merebak, Perajin Masker di Badung Panen Order;0.0;wabah covid rebak rajin masker badung panen order;wabah covid merebak perajin masker di badung panen order;['wabah', 'covid', 'merebak', 'perajin', 'masker', 'di', 'badung', 'panen', 'order'];['wabah', 'covid', 'merebak', 'perajin', 'masker', 'di', 'badung', 'panen', 'order'];['wabah', 'covid', 'merebak', 'perajin', 'masker', 'badung', 'panen', 'order'];wabah covid merebak perajin masker badung panen order;wabah covid rebak rajin masker badung panen order
